paper_id,row_type,efficacy_source,year,first_author,design,country,journal,title_short,sport,sport_category,athlete_level,n_total,age_mean,age_sd,sex_male_pct,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,dispersion_note,complete_for_smd,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_rate_ig,adherence_rate_cg,completion_note,feasibility_source_quote,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,ae_description,safety_source_quote,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,arm_safety_source_quote,row_id,year_num,n_total_num,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,any_ae_n_ig_num,any_ae_total_ig_num,any_ae_n_cg_num,any_ae_total_cg_num,overall_ae_n_num,overall_ae_total_num,outcome_lower,lower_by_metric,lower_is_better_flag,direction_standardization_note,direction_multiplier,yi,vi,hedges_g_raw,variance_raw,hedges_g_normalized,variance_normalized,analysis_group
Malakhov2014,efficacy_outcome,additional,2014,Malakhov,Crossover,Russia,Asian J Sports Med.,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,"Field athletics, team sports",mixed/various sports,competitive,66,19.8,1.0,44,hyperventilation,quiet breath,crossover,performance,S (mm2),post-exercise,TRUE,38,386.7,245.6,38,76.22,34.15,,TRUE,38,28,,,,,,,unclear,,,,,,,,,,,,,,7,2014,66,38,386.7,245.6,38,76.22,34.15,38,28,,,,,,,,,s (mm2),FALSE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,1.752751262065394,0.07389127638045989,1.752751262065394,0.07389127638045989,-1.752751262065394,0.07389127638045989,efficacy_performance
Malakhov2014,efficacy_outcome,primary,2014,Malakhov,Crossover,Russia,Asian J Sports Med.,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,"Field athletics, team sports",mixed/various sports,competitive,66,19.8,1.0,44,hyperventilation,quiet breath,crossover,Performance,"Mean velocity of CP displacement (V, mm/s)",Post-exercise,TRUE,38,37.76,29.00,38,7.06,1.68,,TRUE,38,28,,,,,,,unclear,,,,,,,,,,,,,,8,2014,66,38,37.76,29,38,7.06,1.68,38,28,,,,,,,,,"mean velocity of cp displacement (v, mm/s)",TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,1.479401842248202,0.06777726020231362,1.479401842248202,0.06777726020231362,-1.479401842248202,0.06777726020231362,efficacy_performance
Sakamoto2015,efficacy_outcome,primary,2015,Sakamoto,Crossover,Japan,Eur J Appl Physiol,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Resistance training,resistance/strength,competitive,15,21.2,3.7,73,hyperventilation,control,crossover,Performance,Peak Torque 60/s (Nm),Pre-exercise,FALSE,15,237.1,56.8,15,234.0,58.4,,TRUE,15,15,,,,,,,unclear,,,,,,,,,,,,,,10,2015,15,15,237.1,56.8,15,234,58.4,15,15,,,,,,,,,peak torque 60/s (nm),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.05235761623357982,0.13338553463073718,0.05235761623357982,0.13338553463073718,0.05235761623357982,0.13338553463073718,efficacy_performance
Stavrou2015,efficacy_outcome,additional,2015,Stavrou,RCT,Greece,J Hum Kinet,Yogic breathing practices improve lung functions of competitive young swimmers,Fin-swimming,swimming,competitive,28,,,50,intermittent breath holding,self-selected breathing frequency,parallel,physiological,FVC,post-training,FALSE,14,4.3,0.7,14,2.9,0.5,,TRUE,14,14,0,0,,,,,unclear,,,,,,,,,,,,,,11,2015,28,14,4.3,0.7,14,2.9,0.5,14,14,0,0,,,,,,,fvc,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,2.2344400913922184,0.24576677506511865,2.2344400913922184,0.24576677506511865,2.2344400913922184,0.24576677506511865,efficacy_physiological
Stavrou2015,efficacy_outcome,primary,2015,Stavrou,RCT,Greece,J Hum Kinet,Yogic breathing practices improve lung functions of competitive young swimmers,Fin-swimming,swimming,competitive,28,,,50,intermittent breath holding,self-selected breathing frequency,parallel,Physiological,FEV1,Post-training (16 weeks),FALSE,14,4.1,0.8,14,3.8,0.8,SD assumed,TRUE,14,14,0,0,,,,,unclear,,,,,,,,,,,,,,12,2015,28,14,4.1,0.8,14,3.8,0.8,14,14,0,0,,,,,,,fev1,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.3640598695745547,0.14558903918409247,0.3640598695745547,0.14558903918409247,0.3640598695745547,0.14558903918409247,efficacy_physiological
Hakked2017,efficacy_outcome,primary,2017,Hakked,RCT,India,J Ayurveda Integr Med,Yogic breathing practices improve lung functions of competitive young swimmers,Swimming,swimming,competitive,30,,,,pranayama/yogic breathing,usual training,parallel,Physiological,Maximum Voluntary Ventilation (MVV),Post (30 days),FALSE,14,3.54,0.88,13,3.08,0.86,,TRUE,15,15,1,2,100,100,,,unclear,,,,,,,,,,,,,,15,2017,30,14,3.54,0.88,13,3.08,0.86,15,15,1,2,,,,,,,maximum voluntary ventilation (mvv),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.5124167957047715,0.1539963602080865,0.5124167957047715,0.1539963602080865,0.5124167957047715,0.1539963602080865,efficacy_physiological
Kacoglu2017,efficacy_outcome,primary,2017,Kacoglu,Crossover,Turkey,Eur J Hum Mov,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Jumping and sprinting,running,healthy active,14,,,,hyperventilation,normal ventilation,crossover,Performance,10-m sprint time (s),Post-exercise,TRUE,14,1.94,0.11,14,1.92,0.11,,TRUE,14,14,,,,,,,unclear,,,,,,,,,,,,,,16,2017,14,14,1.94,0.11,14,1.92,0.11,14,14,,,,,,,,,10-m sprint time (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,0.1765138761573601,0.14349935172738995,0.1765138761573601,0.14349935172738995,-0.1765138761573601,0.14349935172738995,efficacy_performance
Burtch2017,efficacy_outcome,additional,2017,Burtch,RCT,USA,J Strength Cond Res,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Swimming,swimming,competitive,25,,,,controlled frequency breathing (CFB),stroke matched control,parallel,physiological,VO2max,post-training,FALSE,13,53,5,12,53,6,,TRUE,13,12,,,,,5 total dropouts.,"because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed the final testing session.",yes,,25,,illness,"because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed",,,,,,,,,19,2017,25,13,53,5,12,53,6,13,12,,,,,,,,25,vo2max,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0,0.16025641025641024,0,0.16025641025641024,0,0.16025641025641024,efficacy_physiological
Burtch2017,efficacy_outcome,primary,2017,Burtch,RCT,USA,J Strength Cond Res,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Swimming,swimming,competitive,25,,,,controlled frequency breathing (CFB),stroke matched control,parallel,Performance,200-yard time trial (s),Post-training,TRUE,13,114,7,12,115,7,,TRUE,13,12,,,,,5 total dropouts.,"because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed the final testing session.",yes,,25,,illness,"because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed",,,,,,,,,20,2017,25,13,114,7,12,115,7,13,12,,,,,,,,25,200-yard time trial (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,-0.13813887444996606,0.16070521851804292,-0.13813887444996606,0.16070521851804292,0.13813887444996606,0.16070521851804292,efficacy_performance
Woorons2017,efficacy_outcome,additional,2017,Woorons,Crossover,France,Eur J Appl Physiol,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Cycling,cycling,competitive,9,27.2,9.3,89,hypoventilation (RSH-VHL),normal breathing (RSN),crossover,physiological,Breathing frequency,during exercise,FALSE,9,44.5,5.8,9,58.4,17.0,,TRUE,9,9,,,,,,,unclear,,,,,,,,,,,,,,21,2017,9,9,44.5,5.8,9,58.4,17,9,9,,,,,,,,,breathing frequency,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,-1.0421336609828242,0.2602933663175658,-1.0421336609828242,0.2602933663175658,-1.0421336609828242,0.2602933663175658,efficacy_physiological
Woorons2017,efficacy_outcome,primary,2017,Woorons,Crossover,France,Eur J Appl Physiol,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Cycling,cycling,competitive,9,27.2,9.3,89,hypoventilation (RSH-VHL),normal breathing (RSN),crossover,Physiological,Tidal Volume (Vt) S1 (L),During exercise,FALSE,9,2.50,0.5,9,2.34,0.7,,TRUE,9,9,,,,,,,unclear,,,,,,,,,,,,,,22,2017,9,9,2.5,0.5,9,2.34,0.7,9,9,,,,,,,,,tidal volume (vt) s1 (l),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,0.25047930575916594,0.2244215642952753,0.25047930575916594,0.2244215642952753,0.25047930575916594,0.2244215642952753,efficacy_physiological
